"eventId","subEventName","tags","playerId","positions","matchId","eventName","teamId","matchPeriod","eventSec","subEventId","id","tagsList","pos_orig_y","pos_orig_x","pos_dest_y","pos_dest_x","period_order","possession_id","case:concept:name","concept:name","time:timestamp","org:resource"
8,"Simple pass","[{'id': 1801}]",3685,"[{'y': 50, 'x': 50}, {'y': 53, 'x': 45}]",2057984,"Pass","Mexico","1H",2.22747699999999,85,258947938,"[1801]",50,50,53,45,1,2,2,"Simple pass","1970-01-01 00:00:00.000000002","C. Vela"
8,"Simple pass","[{'id': 1801}]",112459,"[{'y': 53, 'x': 45}, {'y': 10, 'x': 31}]",2057984,"Pass","Mexico","1H",3.949556,85,258947939,"[1801]",53,45,10,31,1,2,2,"Simple pass","1970-01-01 00:00:00.000000003","H. Herrera"
8,"Simple pass","[{'id': 1801}]",336178,"[{'y': 10, 'x': 31}, {'y': 33, 'x': 26}]",2057984,"Pass","Mexico","1H",7.164715,85,258947940,"[1801]",10,31,33,26,1,2,2,"Simple pass","1970-01-01 00:00:00.000000007","J. Gallardo"
8,"Simple pass","[{'id': 1801}]",3795,"[{'y': 33, 'x': 26}, {'y': 61, 'x': 28}]",2057984,"Pass","Mexico","1H",11.356112,85,258947942,"[1801]",33,26,61,28,1,2,2,"Simple pass","1970-01-01 00:00:00.000000011","H. Moreno"
8,"Simple pass","[{'id': 1801}]",112777,"[{'y': 61, 'x': 28}, {'y': 48, 'x': 10}]",2057984,"Pass","Mexico","1H",15.253747,85,258947943,"[1801]",61,28,48,10,1,2,2,"Simple pass","1970-01-01 00:00:00.000000015","H. Ayala"
8,"Launch","[{'id': 1801}]",25816,"[{'y': 48, 'x': 10}, {'y': 15, 'x': 46}]",2057984,"Pass","Mexico","1H",19.520414,84,258947944,"[1801]",48,10,15,46,1,2,2,"Launch","1970-01-01 00:00:00.000000019","G. Ochoa"
1,"Air duel","[{'id': 703}, {'id': 1801}]",14732,"[{'y': 85, 'x': 54}, {'y': 74, 'x': 66}]",2057984,"Duel","Germany","1H",22.067938,10,258947857,"[703, 1801]",85,54,74,66,1,3,3,"Air duel","1970-01-01 00:00:00.000000022","T. Müller"
1,"Air duel","[{'id': 701}, {'id': 1802}]",336178,"[{'y': 15, 'x': 46}, {'y': 26, 'x': 34}]",2057984,"Duel","Mexico","1H",22.157485,10,258947947,"[701, 1802]",15,46,26,34,1,4,4,"Air duel","1970-01-01 00:00:00.000000022","J. Gallardo"
8,"Simple pass","[{'id': 1801}]",3319,"[{'y': 74, 'x': 66}, {'y': 73, 'x': 58}]",2057984,"Pass","Germany","1H",23.859712,85,258947858,"[1801]",74,66,73,58,1,5,5,"Simple pass","1970-01-01 00:00:00.000000023","M. Özil"
8,"Simple pass","[{'id': 1802}]",3318,"[{'y': 73, 'x': 58}, {'y': 92, 'x': 67}]",2057984,"Pass","Germany","1H",24.978494,85,258947859,"[1802]",73,58,92,67,1,6,6,"Simple pass","1970-01-01 00:00:00.000000024","S. Khedira"
